Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100.0,50.0,0.0,4s,6s,Start_Year,End_Year,Country
DG Bradman ,52,80,10,6996,334,99.94,9800,58.6,29.0,13.0,7.0,626,6,1928,1948,AUS
HC Brook ,12,20,1,1181,186,62.15,1287,91.76,4.0,7.0,1.0,141,23,2022,2023,ENG
AC Voges ,20,31,7,1485,269,61.87,2667,55.68,5.0,4.0,2.0,186,5,2015,2016,AUS
RG Pollock ,23,41,4,2256,274,60.97,1707,54.48,7.0,11.0,1.0,246,11,1963,1970,SA
GA Headley ,22,40,4,2190,270,60.83,416,56.0,10.0,5.0,2.0,104,1,1930,1954,WI
H Sutcliffe ,54,84,9,4555,194,60.73,6558,34.59,16.0,23.0,2.0,202,6,1924,1935,ENG
E Paynter ,20,31,5,1540,243,59.23,1288,45.88,4.0,7.0,3.0,125,4,1931,1939,ENG
KF Barrington ,82,131,15,6806,256,58.67,4957,42.42,20.0,35.0,5.0,591,27,1955,1968,ENG
WR Hammond ,85,140,16,7249,336,58.45,7491,38.07,22.0,24.0,4.0,419,27,1927,1947,ENG
GS Sobers ,93,160,21,8032,365,57.78,4063,53.58,26.0,30.0,12.0,593,32,1954,1974,WI
KC Sangakkara ,134,233,17,12400,319,57.4,22882,54.19,38.0,52.0,11.0,1491,51,2000,2015,SL
SPD Smith ,109,195,25,9685,239,56.97,18100,53.5,32.0,41.0,10.0,1063,54,2010,2024,AUS
JB Hobbs ,61,102,7,5410,211,56.94,5363,46.22,15.0,28.0,4.0,276,8,1908,1930,ENG
L Hutton ,79,138,15,6971,364,56.67,2844,39.34,19.0,33.0,5.0,358,7,1937,1955,ENG
JH Kallis ,166,280,40,13289,224,55.37,28903,45.97,45.0,58.0,16.0,1488,97,1995,2013,ICC/SA
GE Tyldesley ,14,20,2,990,122,55.0,178,29.21,3.0,6.0,2.0,37,2,1921,1929,ENG
KS Williamson ,100,176,17,8743,251,54.98,17006,51.41,32.0,34.0,11.0,971,24,2010,2024,NZ
CA Davis ,15,29,5,1301,183,54.2,665,35.48,4.0,4.0,1.0,65,1,1968,1973,WI
VG Kambli ,17,21,1,1084,227,54.2,1823,59.46,4.0,3.0,3.0,124,6,1993,1995,IND
GS Chappell ,87,151,19,7110,247,53.86,13079,51.53,24.0,31.0,12.0,755,16,1970,1984,AUS
AD Nourse ,34,62,7,2960,231,53.81,108,63.88,9.0,14.0,3.0,115,6,1935,1951,SA
SR Tendulkar ,200,329,33,15921,248,53.78,29437,54.04,51.0,68.0,14.0,2058,69,1989,2013,IND
BC Lara ,131,232,6,11953,400,52.88,19753,60.51,34.0,48.0,17.0,1559,88,1990,2006,ICC/WI
Javed Miandad ,124,189,21,8832,280,52.57,15164,45.99,23.0,43.0,6.0,788,48,1976,1993,PAK
R Dravid ,164,286,32,13288,270,52.31,31258,42.51,36.0,63.0,8.0,1654,21,1996,2012,ICC/IND
Mohammad Yousuf ,90,156,12,7530,223,52.29,14372,52.39,24.0,33.0,11.0,957,51,1998,2010,PAK
Younis Khan ,118,213,19,10099,313,52.05,19375,52.12,34.0,33.0,19.0,1082,70,2000,2017,PAK
RT Ponting ,168,287,29,13378,257,51.85,22782,58.72,41.0,62.0,17.0,1509,73,1995,2012,AUS
J Ryder ,20,32,5,1394,201,51.62,2035,44.86,3.0,9.0,1.0,102,3,1920,1929,AUS
A Flower ,63,112,19,4794,232,51.54,10636,45.07,12.0,27.0,5.0,543,20,1992,2002,ZIM
MEK Hussey ,79,137,16,6235,195,51.52,12436,50.13,19.0,29.0,12.0,685,39,2005,2013,AUS
S Chanderpaul ,164,280,49,11867,203,51.37,27395,43.31,30.0,66.0,15.0,1285,36,1994,2015,WI
